Year,Industry (GWH),Agriculture (GWH),Domestic (GWH),Commercial (GWH),Traction and Railways (GWH),Others (GWH),Total Electricity Consumed (GWH)
1990-91,84209,50321,31982,11181,4112,8552,190357
1991-92,87288,58557,35854,12032,4520,9394,207645
1992-93,90170,63328,39717,12653,5068,9738,220674
1993-94,91503,70699,43344,14144,5620,10259,238569
1994-95,100126,79301,47913,15973,5886,10428,259629
1995-96,104693,85732,51733,16396,6223,11652,277029
1996-97,104165,86019,55267,17519,6534,12642,280146
1997-98,104928,91242,60340,19367,6844,13823,296749
1998-99,105090,97199,64973,19397,7007,15380,309734
1999-00,105728,90954,70520,21161,8083,15410,312841
2000-01,107622,81729,75629,22545,8213,17862,316600
2001-02,107298,81673,79694,24139,8106,21551,322459
2002-03,114959,84486,81355,25437,8797,27564,339598
2003-04,124573,87089,89736,28201,9210,22128,360937
2004-05,137589,88555,95660,31381,9495,23454,386134
2005-06,151557,90292,100090,35965,9944,24039,411887
2006-07,171293,99023,111002,40220,10800,23411,455748
2007-08,189424,104182,120918,46685,11108,29660,501977
2008-09,209474,109610,131720,54189,11425,37577,553995
2009-10,236752,120209,146080,60600,12408,36595,612645
2010-11,272589,131967,169326,67289,14003,39218,694392
2011-12,352291,140960,171104,65381,14206,41252,785194
2012-13,365989,147462,183700,72794,14100,40256,824301
2013-14,384418,152744,199842,74247,15540,47418,874209
2014-15,418346,168913,217405,78391,16177,49289,948522
2015-16,423523,173185,238876,86037,16594,62976,1001191
2016-17,440206,191151,255826,89825,15683,68493,1061183
2017-18,468613,199247,273545,93755,17433,70834,1123427
2018-19,519196,213409,288243,98228,18837,72058,1209972
2019-20,532820,211295,308745,106047,19148,70031,1248086
2020-21,508776,221303,330809,86950,14668,67701,1230208
2021-22,556481,228451,339780,97121,21935,72996,1316765
2022-23,593895,243852,353156,117231,30028,102149,1440311
2023-24,645000,255000,375000,125000,33000,110000,1543000
