Year,Liquified Petroleum Gas (million tonnes),Petrol (million tonnes),Naptha (million tonnes),Kerosene (million tonnes),Aviation Turbine Fuel (million tonnes),High Speed Diesel Oil (million tonnes),Light Diesel Oil (million tonnes),Fuel Oil (million tonnes),Lubricants (million tonnes),Bitumen (million tonnes),Petroleum Coke (million tonnes),Refinery Fuel (million tonnes),Others (million tonnes),Total (million tonnes)
1990-91,2.415,3.545,3.486,8.423,1.677,21.139,1.506,8.986,0.892,1.581,0.29,2.71,1.135,57.745
1991-92,2.65,3.573,3.461,8.377,1.559,22.68,1.462,9.202,0.932,1.706,0.266,2.629,1.106,59.603
1992-93,2.866,3.595,3.382,8.478,1.565,24.293,1.407,9.267,0.846,1.823,0.152,2.753,1.228,61.655
1993-94,3.113,3.834,3.191,8.704,1.741,25.872,1.37,9.192,0.688,1.824,0.132,2.836,1.151,63.648
1994-95,3.434,4.141,3.4,8.864,1.901,28.262,1.369,9.889,0.688,1.939,0.197,3.137,3.328,70.65
1995-96,3.922,4.679,4.154,9.932,2.082,32.261,1.311,11.16,0.956,2.005,0.319,3.238,2.05,78.069
1996-97,4.267,4.955,4.03,10.153,2.154,35.019,1.233,11.507,1.013,2.273,0.276,3.49,2.298,82.658
1997-98,4.632,5.307,4.091,11.065,2.108,36.92,1.25,11.491,1.081,2.178,0.227,3.514,2.259,87.804
1998-99,5.002,5.502,4.898,12.247,2.112,37.237,1.278,12.51,1.097,2.412,0.393,3.7,1.55,94.262
1999-00,5.333,5.807,6.891,11.398,2.197,39.845,1.376,12.453,1.243,2.879,0.328,5.544,2.15,102.63
2000-01,7.016,6.613,11.673,11.307,2.248,37.958,1.399,12.653,1.115,2.774,0.448,6.9,4.869,106.974
2001-02,7.728,7.011,11.728,10.432,2.256,36.546,1.592,12.982,1.137,2.584,0.178,7.273,4.638,107.705
2002-03,8.351,7.57,11.929,10.405,2.269,36.644,2.063,12.738,1.25,2.986,2.563,7.65,5.358,111.776
2003-04,9.305,7.897,11.86,10.23,2.484,37.074,1.619,12.945,1.427,3.337,8.877,8.24,6.652,115.991
2004-05,10.245,8.247,12.194,9.541,3.296,39.651,1.476,13.54,1.347,3.337,3.129,8.537,4.459,120.171
2005-06,10.849,9.285,13.386,9.505,3.983,42.509,0.72,12.825,1.9,3.508,4.928,9.141,4.663,122.354
2006-07,12.165,10.332,13.294,9.365,4.543,47.669,0.667,12.618,2.081,3.833,5.441,10.92,5.833,131.669
2007-08,12.17,10.33,13.29,9.37,4.54,47.67,0.67,12.72,2.29,4.51,5.95,11.75,5.45,140.7
2008-09,12.34,11.26,13.91,9.3,4.42,51.71,0.55,12.59,2,4.75,6.17,11.91,4.6,145.51
2009-10,13.14,12.82,10.13,9.3,4.63,56.24,0.46,11.63,2.54,4.93,6.59,5.4,15.12,152.92
2010-11,14.33,14.19,10.68,8.93,5.08,60.07,0.46,10.79,2.43,4.54,4.98,4.57,16.38,157.42
2011-12,15.35,14.99,11.22,8.23,5.54,64.75,0.41,9.31,2.63,4.64,6.14,4.92,17.29,165.42
2012-13,15.6,15.74,12.29,7.5,5.27,69.08,0.4,7.66,3.2,4.68,10.13,5.51,18.35,175.4
2013-14,16.29,17.13,11.31,7.16,5.5,68.36,0.39,6.24,3.31,5.01,11.76,5.96,17.87,176.28
2014-15,18,19.08,11.08,7.09,5.72,69.42,0.37,5.96,3.31,5.07,14.56,5.87,17.67,183.19
2015-16,19.62,21.85,13.27,6.83,6.26,74.65,0.41,6.63,3.57,5.94,19.3,6.35,18.77,203.44
2016-17,21.61,23.76,13.24,5.4,7,76.03,0.45,7.15,3.47,5.94,23.96,6.59,20.07,214.66
2017-18,23.34,26.17,12.89,3.85,7.63,81.07,0.52,6.72,3.88,6.09,25.66,8.34,21.16,227.33
2018-19,24.91,28.28,14.13,3.46,8.3,83.53,0.6,6.56,3.67,6.71,21.35,11.72,21.45,234.67
2019-20,26.33,29.98,14.27,2.4,8,82.6,0.63,6.3,3.83,6.72,21.71,11.36,23.61,237.74
2020-21,27.56,27.97,14.1,1.8,3.7,72.71,0.86,5.59,4.1,7.52,15.61,12.79,22.81,217.1
2021-22,28.25,30.85,13.25,1.49,5.01,76.66,1.02,6.26,4.54,7.82,14.26,12.3,23.5,225.19
2022-23,28.5,34.98,12.13,0.49,7.38,85.9,0.73,6.96,3.74,8.04,18.34,15.84,26.04,249.06
2023-24,29.66,37.22,13.81,0.48,8.25,89.63,0.78,6.52,4.09,8.81,20.32,14.7,26.65,260.91
