Source,State,Year,Annual Generation (In MU)
bio-power,Andaman and Nicobar Islands,2025-26,0.00
bio-power,Andhra Pradesh,2025-26,128.50
bio-power,Arunachal Pradesh,2025-26,0.00
bio-power,Assam,2025-26,0.16
bio-power,Bihar,2025-26,1.16
bio-power,Chandigarh,2025-26,0.00
bio-power,Chhattisgarh,2025-26,494.02
bio-power,Dadra and Nagar Haveli and Daman and Diu,2025-26,4.24
bio-power,Delhi,2025-26,176.69
bio-power,Goa,2025-26,2.71
bio-power,Gujarat,2025-26,28.31
bio-power,Haryana,2025-26,164.67
bio-power,Himachal Pradesh,2025-26,0.00
bio-power,Jammu and Kashmir,2025-26,0.00
bio-power,Jharkhand,2025-26,0.00
bio-power,Karnataka,2025-26,1170.44
bio-power,Kerala,2025-26,29.86
bio-power,Ladakh,2025-26,0.00
bio-power,Lakshadweep,2025-26,0.00
bio-power,Madhya Pradesh,2025-26,64.66
bio-power,Maharashtra,2025-26,283.26
bio-power,Manipur,2025-26,0.00
bio-power,Meghalaya,2025-26,0.00
bio-power,Mizoram,2025-26,0.00
bio-power,Nagaland,2025-26,0.00
bio-power,Odisha,2025-26,26.47
bio-power,Puducherry,2025-26,0.00
bio-power,Punjab,2025-26,295.50
bio-power,Rajasthan,2025-26,265.05
bio-power,Sikkim,2025-26,0.00
bio-power,Tamil Nadu,2025-26,55.66
bio-power,Telangana,2025-26,88.71
bio-power,Tripura,2025-26,0.00
bio-power,Uttar Pradesh,2025-26,274.36
bio-power,Uttarakhand,2025-26,82.84
bio-power,West Bengal,2025-26,482.73
bio-power,Andaman and Nicobar Islands,2024-25,0.00
bio-power,Andhra Pradesh,2024-25,379.35
bio-power,Arunachal Pradesh,2024-25,0.00
bio-power,Assam,2024-25,0.30
bio-power,Bihar,2024-25,104.70
bio-power,Chandigarh,2024-25,0.00
bio-power,Chhattisgarh,2024-25,1563.31
bio-power,Dadra and Nagar Haveli and Daman and Diu,2024-25,12.76
bio-power,Delhi,2024-25,542.41
bio-power,Goa,2024-25,8.14
bio-power,Gujarat,2024-25,107.62
bio-power,Haryana,2024-25,452.96
bio-power,Himachal Pradesh,2024-25,0.00
bio-power,Jammu and Kashmir,2024-25,0.00
bio-power,Jharkhand,2024-25,0.00
bio-power,Karnataka,2024-25,2506.40
bio-power,Kerala,2024-25,77.17
bio-power,Ladakh,2024-25,0.00
bio-power,Lakshadweep,2024-25,0.00
bio-power,Madhya Pradesh,2024-25,248.56
bio-power,Maharashtra,2024-25,3350.80
bio-power,Manipur,2024-25,0.00
bio-power,Meghalaya,2024-25,0.00
bio-power,Mizoram,2024-25,0.00
bio-power,Nagaland,2024-25,0.00
bio-power,Odisha,2024-25,53.80
bio-power,Puducherry,2024-25,0.00
bio-power,Punjab,2024-25,1040.17
bio-power,Rajasthan,2024-25,400.85
bio-power,Sikkim,2024-25,0.00
bio-power,Tamil Nadu,2024-25,484.89
bio-power,Telangana,2024-25,334.86
bio-power,Tripura,2024-25,0.00
bio-power,Uttar Pradesh,2024-25,2563.71
bio-power,Uttarakhand,2024-25,248.52
bio-power,West Bengal,2024-25,1462.46
bio-power,Andhra Pradesh,2023-24,393.35
bio-power,Assam,2023-24,0.75
bio-power,Bihar,2023-24,140.98
bio-power,Chhattisgarh,2023-24,1388.15
bio-power,Dadra and Nagar Haveli and Daman and Diu,2023-24,13.12
bio-power,Delhi,2023-24,522.28
bio-power,Goa,2023-24,7.96
bio-power,Gujarat,2023-24,2.13
bio-power,Haryana,2023-24,436.54
bio-power,Himachal Pradesh,2023-24,
