Source,Plant Name,Unit Name,State,Year,Plant Vintage,Technology,Sector,Annual Generation (In MU)
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 3,Karnataka,2025-26,2000-2009,Pressurised Heavy Water Reactor,central,658.23
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 2,Karnataka,2025-26,2000-2009,Pressurised Heavy Water Reactor,central,730.10
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 4,Karnataka,2025-26,2010-2019,Pressurised Heavy Water Reactor,central,873.35
nuclear,Kaiga Generating Station,Kaiga Generating Station Unit 1,Karnataka,2025-26,2000-2009,Pressurised Heavy Water Reactor,central,0.00
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 4,Gujarat,2025-26,2020-2029,Pressurised Heavy Water Reactor,central,1329.93
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 3,Gujarat,2025-26,2020-2029,Pressurised Heavy Water Reactor,central,1941.51
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 2,Gujarat,2025-26,1990-1999,Pressurised Heavy Water Reactor,central,480.83
nuclear,Kakrapar Atomic Power Station,Kakrapar Atomic Power Station Unit 1,Gujarat,2025-26,1990-1999,Pressurised Heavy Water Reactor,central,782.78
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 2,Tamil Nadu,2025-26,2010-2019,Pressurised Water Reactor,central,3724.21
nuclear,Kudankulam Atomic Power Project,Kudankulam Atomic Power Project Unit 1,Tamil Nadu,2025-26,2010-2019,Pressurised Water Reactor,central,2977.98
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 1,Tamil Nadu,2025-26,1980-1989,Pressurised Heavy Water Reactor,central,0.00
nuclear,Madras Atomic Power Station,Madras Atomic Power Station Unit 2,Tamil Nadu,2025-26,1980-1989,Pressurised Heavy Water Reactor,central,771.34
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 1,Uttar Pradesh,2025-26,1990-1999,Pressurised Heavy Water Reactor,central,67.08
nuclear,Narora Atomic Power Station,Narora Atomic Power Station Unit 2,Uttar Pradesh,2025-26,1990-1999,Pressurised Heavy Water Reactor,central,770.81
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 2,Rajasthan,2025-26,1980-1989,Pressurised Heavy Water Reactor,central,424.23
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 4,Rajasthan,2025-26,2000-2009,Pressurised Heavy Water Reactor,central,730.86
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 3,Rajasthan,2025-26,2000-2009,Pressurised Heavy Water Reactor,central,732.17
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 6,Rajasthan,2025-26,2010-2019,Pressurised Heavy Water Reactor,central,814.24
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 5,Rajasthan,2025-26,2010-2019,Pressurised Heavy Water Reactor,central,806.90
nuclear,Rajasthan Atomic Power Station,Rajasthan Atomic Power Station Unit 7,Rajasthan,2025-26,2020-2029,Pressurised Heavy Water Reactor,central,984.17
