Source,State,Year,Annual Generation (In MU)
solar,Andaman and Nicobar Islands,2025-26,5.23
solar,Andhra Pradesh,2025-26,3422.04
solar,Arunachal Pradesh,2025-26,1.47
solar,Assam,2025-26,123.02
solar,Bihar,2025-26,134.83
solar,Chandigarh,2025-26,2.35
solar,Chhattisgarh,2025-26,660.14
solar,Dadra and Nagar Haveli and Daman and Diu,2025-26,6.65
solar,Delhi,2025-26,68.84
solar,Goa,2025-26,19.04
solar,Gujarat,2025-26,9702.57
solar,Haryana,2025-26,506.69
solar,Himachal Pradesh,2025-26,82.22
solar,Jammu and Kashmir,2025-26,0.00
solar,Jharkhand,2025-26,5.88
solar,Karnataka,2025-26,6488.12
solar,Kerala,2025-26,730.24
solar,Ladakh,2025-26,0.00
solar,Lakshadweep,2025-26,0.03
solar,Madhya Pradesh,2025-26,3036.53
solar,Maharashtra,2025-26,3475.46
solar,Manipur,2025-26,2.88
solar,Meghalaya,2025-26,0.00
solar,Mizoram,2025-26,12.43
solar,Nagaland,2025-26,0.00
solar,Odisha,2025-26,336.76
solar,Others,2025-26,0.00
solar,Puducherry,2025-26,5.83
solar,Punjab,2025-26,635.86
solar,Rajasthan,2025-26,25254.70
solar,Sikkim,2025-26,0.00
solar,Tamil Nadu,2025-26,7753.22
solar,Telangana,2025-26,2755.41
solar,Tripura,2025-26,5.03
solar,Uttar Pradesh,2025-26,2306.29
solar,Uttarakhand,2025-26,123.55
solar,West Bengal,2025-26,143.42
solar,Andaman and Nicobar Islands,2024-25,24.59
solar,Andhra Pradesh,2024-25,7993.48
solar,Arunachal Pradesh,2024-25,1.30
solar,Assam,2024-25,305.52
solar,Bihar,2024-25,325.86
solar,Chandigarh,2024-25,8.79
solar,Chhattisgarh,2024-25,1523.27
solar,Dadra and Nagar Haveli and Daman and Diu,2024-25,15.87
solar,Delhi,2024-25,206.53
solar,Goa,2024-25,57.11
solar,Gujarat,2024-25,20219.48
solar,Haryana,2024-25,1470.02
solar,Himachal Pradesh,2024-25,107.24
solar,Jammu and Kashmir,2024-25,0.00
solar,Jharkhand,2024-25,17.64
solar,Karnataka,2024-25,15699.63
solar,Kerala,2024-25,1711.83
solar,Ladakh,2024-25,0.00
solar,Lakshadweep,2024-25,0.09
solar,Madhya Pradesh,2024-25,7123.73
solar,Maharashtra,2024-25,7725.20
solar,Manipur,2024-25,8.68
solar,Meghalaya,2024-25,0.00
solar,Mizoram,2024-25,25.38
solar,Nagaland,2024-25,0.00
solar,Odisha,2024-25,786.75
solar,Others,2024-25,
solar,Puducherry,2024-25,12.24
solar,Punjab,2024-25,1372.73
solar,Rajasthan,2024-25,49101.62
solar,Sikkim,2024-25,0.00
solar,Tamil Nadu,2024-25,15739.30
solar,Telangana,2024-25,6941.75
solar,Tripura,2024-25,5.97
solar,Uttar Pradesh,2024-25,4966.06
solar,Uttarakhand,2024-25,331.80
solar,West Bengal,2024-25,320.75
solar,Andaman and Nicobar Islands,2023-24,27.50
solar,Andhra Pradesh,2023-24,8300.03
solar,Arunachal Pradesh,2023-24,1.89
solar,Assam,2023-24,316.31
solar,Bihar,2023-24,195.19
solar,Chandigarh,2023-24,11.70
solar,Chhattisgarh,2023-24,943.75
solar,Dadra and Nagar Haveli and Daman and Diu,2023-24,15.75
solar,Delhi,2023-24,206.53
solar,Goa,2023-24,59.99
solar,Gujarat,2023-24,13468.91
