Source,Plant Name,State,Year,Sector,Annual Generation (In MU)
hydro,Aliyar Hydroelectric Power Project,Tamil Nadu,2025-26,state,107.56
hydro,Allain Duhangan Hydroelectric Power Project,Himachal Pradesh,2025-26,private,441.63
hydro,Almatti Dam Power House,Karnataka,2025-26,state,413.68
hydro,Anandpur Sahib I & II Hydroelectric Power Project,Punjab,2025-26,state,319.22
hydro,Baglihar I Hydroelectric Power Project,Jammu and Kashmir,2025-26,state,1463.57
hydro,Baglihar II Hydroelectric Power Project,Jammu and Kashmir,2025-26,state,1184.87
hydro,Baira Siul Hydroelectric Power Project,Himachal Pradesh,2025-26,central,405.20
hydro,Bajoli Holi Hydro Power Project,Himachal Pradesh,2025-26,private,504.64
hydro,Balimela Hydroelectric Power Project,Odisha,2025-26,state,610.62
hydro,Bansagar Tons I Hydroelectric Power Project,Madhya Pradesh,2025-26,state,343.51
hydro,Bansagar Tons II Hydroelectric Power Project,Madhya Pradesh,2025-26,state,33.79
hydro,Bansagar Tons III Hydroelectric Power Project,Madhya Pradesh,2025-26,state,69.81
hydro,Bargi Hydroelectric Power Project,Madhya Pradesh,2025-26,state,191.42
hydro,Baspa II Hydroelectric Power Project,Himachal Pradesh,2025-26,private,868.90
hydro,Bassi Hydroelectric Power Project,Himachal Pradesh,2025-26,state,190.98
hydro,Bhadra Left Bank Canal Power House,Karnataka,2025-26,state,32.62
hydro,Bhakra Nangal (Left & Right) Hydroelectric Power Project,Himachal Pradesh,2025-26,central,2514.55
hydro,Bhandardhara II Hydroelectric Power Project,Maharashtra,2025-26,private,21.95
hydro,Bhavani Kattalai Barrage I Hydroelectric Power Project,Tamil Nadu,2025-26,state,52.78
hydro,Bhavani Kattalai Barrage II Hydroelectric Power Project,Tamil Nadu,2025-26,state,37.67
hydro,Bhavani Kattalai Barrage III Hydroelectric Power Project,Tamil Nadu,2025-26,state,26.40
hydro,Bhira Hydroelectric Power Project,Maharashtra,2025-26,private,195.68
hydro,Bhira PSS (Pump Storage Scheme) Hydroelectric Power Project,Maharashtra,2025-26,private,273.49
hydro,Bhira Tail Race Hydroelectric Power Project,Maharashtra,2025-26,state,48.83
hydro,Bhivpuri Hydroelectric Power Project,Maharashtra,2025-26,private,126.85
hydro,Budhil Hydroelectric Power Project,Himachal Pradesh,2025-26,private,197.61
hydro,Chamera I Hydroelectric Power Project,Himachal Pradesh,2025-26,central,1467.50
hydro,Chamera II Hydroelectric Power Project,Himachal Pradesh,2025-26,central,881.74
hydro,Chamera III Hydroelectric Power Project,Himachal Pradesh,2025-26,central,647.65
hydro,Chanju I Hydroelectric Power Project,Himachal Pradesh,2025-26,private,100.79
hydro,Chibro (Yamuna St.II) Hydroelectric Power Project,Uttarakhand,2025-26,state,436.15
hydro,Chilla Hydroelectric Power Project,Uttarakhand,2025-26,state,283.29
hydro,Chutak Hydroelectric Power Project,Ladakh,2025-26,central,135.21
hydro,Chuzachen Hydroelectric Power Project,Sikkim,2025-26,private,254.67
hydro,Dehar Power House,Himachal Pradesh,2025-26,central,1529.64
hydro,Dhakrani (Yamuna St.I) Hydroelectric Power Project,Uttarakhand,2025-26,state,57.85
hydro,Dhalipur (Yamuna St.I) Hydroelectric Power Project,Uttarakhand,2025-26,state,108.12
hydro,Dhauliganga Hydroelectric Power Project,Uttarakhand,2025-26,central,662.97
hydro,Dikchu Hydroelectric Power Project,Sikkim,2025-26,private,300.70
hydro,Doyang Hydroelectric Power Project,Nagaland,2025-26,central,105.84
hydro,Dulhasti Hydroelectric Power Project,Jammu and Kashmir,2025-26,central,1240.97
hydro,Gandhi Sagar Hydroelectric Power Project,Madhya Pradesh,2025-26,state,23.68
hydro,Ganguwal Power House,Punjab,2025-26,central,238.93
hydro,Gerusoppa (Sharavathy Tail Race) Power House,Karnataka,2025-26,state,302.04
hydro,Ghat Prabha Dam Power House,Karnataka,2025-26,state,41.71
hydro,Ghatgarh Hydroelectric Power Project,Maharashtra,2025-26,state,49.49
hydro,Giri Bata Hydroelectric Power Project,Himachal Pradesh,2025-26,state,87.98
hydro,Hampi Canal Power House,Karnataka,2025-26,state,27.30
hydro,Hasdeobango Hydroelectric Power Project,Chhattisgarh,2025-26,state,98.09
hydro,Hirakud (Burla & Chiplima) Hydroelectric Power Project,Odisha,2025-26,state,538.26
hydro,Idamalayar Hydroelectric Power Project,Kerala,2025-26,state,190.94
hydro,Idukki Hydroelectric Power Project,Kerala,2025-26,state,1812.52
hydro,Indira Sagar Hydroelectric Power Project,Madhya Pradesh,2025-26,central,1778.17
hydro,Jaldhaka I Hydroelectric Power Project,West Bengal,2025-26,state,95.54
hydro,Jawahar Sagar Hydroelectric Power Project,Rajasthan,2025-26,state,95.76
hydro,Jog (Mahatma Gandhi) Hydroelectric Power Project,Karnataka,2025-26,state,266.44
hydro,Jorethang Loop Hydroelectric Power Project,Sikkim,2025-26,private,232.31
hydro,Kadana Hydroelectric Power Project,Gujarat,2025-26,state,112.06
hydro,Kadmparai Power House,Tamil Nadu,2025-26,state,119.02
hydro,Kadra Dam Power House,Karnataka,2025-26,state,278.21
hydro,Kakkad Hydroelectric Power Project,Kerala,2025-26,state,121.37
hydro,Kalinadi Nagjhari Power House,Karnataka,2025-26,state,1605.20
hydro,Kalinadi Nagjhari Supa Dam Power House,Karnataka,2025-26,state,243.08
hydro,Kameng Hydro Power Project,Arunachal Pradesh,2025-26,central,1519.90
hydro,Karbi Langpai Hydroelectric Power Project,Assam,2025-26,state,204.23
hydro,Karcham Wangtoo Hydroelectric Power Project,Himachal Pradesh,2025-26,private,3036.96
hydro,Kashang Integrated Hydroelectric Power Project,Himachal Pradesh,2025-26,state,171.29
hydro,Khandong Hydroelectric Power Project,Assam,2025-26,central,26.58
hydro,Khara Hydroelectric Power Project,Uttar Pradesh,2025-26,state,142.96
hydro,Khatima Hydroelectric Power Project,Uttarakhand,2025-26,state,103.87
hydro,Khodri (Yamuna St.II) Hydroelectric Power Project,Uttarakhand,2025-26,state,203.88
hydro,Khopoli Hydroelectric Power Project,Maharashtra,2025-26,private,160.13
hydro,Kishenganga Hydroelectric Power Project,Jammu and Kashmir,2025-26,central,1113.02
hydro,Kodasali Dam Power House,Karnataka,2025-26,state,230.68
hydro,Kodayar I & II Power House,Tamil Nadu,2025-26,state,31.18
hydro,Koldam Hydroelectric Power Project,Himachal Pradesh,2025-26,central,2335.61
hydro,Kopili Hydroelectric Power Project,Assam,2025-26,central,394.73
hydro,Koteshwar Hydroelectric Power Project,Uttarakhand,2025-26,central,648.75
hydro,Kotla Power House,Punjab,2025-26,central,242.12
