Source,Plant Name,State,Year,Sector,Annual Generation (In MU)
oil-gas,Agartala Gas Turbine Power Station,Tripura,2025-26,central,223.99
oil-gas,Anta Gas Combined Cycle Gas Turbine Power Plant,Rajasthan,2025-26,central,162.60
oil-gas,Auraiya Combined Cycle Gas Turbine Power Plant,Uttar Pradesh,2025-26,central,225.03
oil-gas,Baramura Gas Thermal Project,Tripura,2025-26,state,0.00
oil-gas,Basin Bridge Gas Turbine Power Station,Tamil Nadu,2025-26,state,0.00
oil-gas,Dadri Combined Cycle Gas Turbine Power Plant,Uttar Pradesh,2025-26,central,264.10
oil-gas,DGEN Mega Combined Cycle Gas Turbine Power Plant,Gujarat,2025-26,private,860.24
oil-gas,Dholpur Combined Cycle Power Station,Rajasthan,2025-26,state,5.31
oil-gas,Dhuvaran Gas Based Combined Cycle Power Plant,Gujarat,2025-26,state,52.30
oil-gas,Essar Hazira Combined Cycle Gas Turbine Power Plant,Gujarat,2025-26,private,0.00
oil-gas,Faridabad NTPC Gas Combined Cycle Gas Turbine Power Plant,Haryana,2025-26,central,134.26
oil-gas,Gama Combined Cycle Power Plant,Uttarakhand,2025-26,private,140.57
oil-gas,GMR Rajahmundry Energy Ltd.,Andhra Pradesh,2025-26,private,0.00
oil-gas,GMR Vemagiri Combined Cycle Power Plant,Andhra Pradesh,2025-26,private,0.00
oil-gas,GVK Jegurupadu Gas Combined Cycle Gas Turbine,Andhra Pradesh,2025-26,state,0.00
oil-gas,Hazira GSEG Gas Combined Cycle Gas Turbine Power Plant Ext.,Gujarat,2025-26,state,139.00
oil-gas,I.P. Gas Turbine Power Station,Delhi,2025-26,state,141.99
oil-gas,Jhanor-Gandhar Gas Combined Cycle Gas Turbine Power Plant,Gujarat,2025-26,central,266.58
oil-gas,Karaikal Gas Power Plant,Puducherry,2025-26,state,59.98
oil-gas,Kashipur Combined Cycle Power Plant Phase I,Uttarakhand,2025-26,private,320.06
oil-gas,Kathalguri (Assam) Gas Combined Cycle Gas Turbine Power Plant,Assam,2025-26,central,540.51
oil-gas,Kawas Gas Combined Cycle Gas Turbine Power Plant,Gujarat,2025-26,central,262.39
oil-gas,Kayamkulam (Rajiv Gandhi) Gas Combined Cycle Power Plant,Kerala,2025-26,central,0.00
