Source,State,Year,Annual Generation (In MU)
small-hydro,Andaman and Nicobar Islands,2025-26,5.19
small-hydro,Andhra Pradesh,2025-26,74.07
small-hydro,Arunachal Pradesh,2025-26,0.18
small-hydro,Assam,2025-26,55.50
small-hydro,Bihar,2025-26,4.71
small-hydro,Chhattisgarh,2025-26,62.38
small-hydro,Goa,2025-26,0.00
small-hydro,Gujarat,2025-26,41.73
small-hydro,Haryana,2025-26,78.50
small-hydro,Himachal Pradesh,2025-26,1202.25
small-hydro,Jammu and Kashmir,2025-26,232.06
small-hydro,Jharkhand,2025-26,1.68
small-hydro,Karnataka,2025-26,934.33
small-hydro,Kerala,2025-26,366.10
small-hydro,Ladakh,2025-26,0.00
small-hydro,Madhya Pradesh,2025-26,125.38
small-hydro,Maharashtra,2025-26,280.88
small-hydro,Manipur,2025-26,0.00
small-hydro,Meghalaya,2025-26,53.31
small-hydro,Mizoram,2025-26,7.05
small-hydro,Nagaland,2025-26,28.04
small-hydro,Odisha,2025-26,139.05
small-hydro,Punjab,2025-26,215.98
small-hydro,Rajasthan,2025-26,1.33
small-hydro,Sikkim,2025-26,4.12
small-hydro,Tamil Nadu,2025-26,90.40
small-hydro,Telangana,2025-26,7.21
small-hydro,Tripura,2025-26,0.00
small-hydro,Uttar Pradesh,2025-26,24.29
small-hydro,Uttarakhand,2025-26,117.80
small-hydro,West Bengal,2025-26,70.19
small-hydro,Andaman and Nicobar Islands,2024-25,14.40
small-hydro,Andhra Pradesh,2024-25,294.36
small-hydro,Arunachal Pradesh,2024-25,0.58
small-hydro,Assam,2024-25,208.55
small-hydro,Bihar,2024-25,14.54
small-hydro,Chandigarh,2024-25,0.00
small-hydro,Chhattisgarh,2024-25,139.34
small-hydro,Dadra and Nagar Haveli and Daman and Diu,2024-25,0.00
small-hydro,Delhi,2024-25,0.00
small-hydro,Goa,2024-25,0.00
small-hydro,Gujarat,2024-25,205.98
small-hydro,Haryana,2024-25,314.64
small-hydro,Himachal Pradesh,2024-25,3040.90
small-hydro,Jammu and Kashmir,2024-25,395.17
small-hydro,Jharkhand,2024-25,6.25
small-hydro,Karnataka,2024-25,2259.49
small-hydro,Kerala,2024-25,814.29
small-hydro,Ladakh,2024-25,0.00
small-hydro,Lakshadweep,2024-25,0.00
small-hydro,Madhya Pradesh,2024-25,482.19
small-hydro,Maharashtra,2024-25,855.48
small-hydro,Manipur,2024-25,0.00
small-hydro,Meghalaya,2024-25,116.65
small-hydro,Mizoram,2024-25,52.11
small-hydro,Nagaland,2024-25,98.62
small-hydro,Odisha,2024-25,457.20
small-hydro,Puducherry,2024-25,0.00
small-hydro,Punjab,2024-25,734.01
small-hydro,Rajasthan,2024-25,4.15
small-hydro,Sikkim,2024-25,12.35
small-hydro,Tamil Nadu,2024-25,256.60
small-hydro,Telangana,2024-25,74.48
small-hydro,Tripura,2024-25,0.00
small-hydro,Uttar Pradesh,2024-25,179.00
small-hydro,Uttarakhand,2024-25,353.40
small-hydro,West Bengal,2024-25,183.30
small-hydro,Andaman and Nicobar Islands,2023-24,12.00
small-hydro,Andhra Pradesh,2023-24,127.10
small-hydro,Arunachal Pradesh,2023-24,0.66
small-hydro,Assam,2023-24,64.20
small-hydro,Bihar,2023-24,5.92
small-hydro,Chhattisgarh,2023-24,145.54
small-hydro,Goa,2023-24,
small-hydro,Gujarat,2023-24,217.68
small-hydro,Haryana,2023-24,222.05
small-hydro,Himachal Pradesh,2023-24,2526.98
small-hydro,Jammu and Kashmir,2023-24,408.69
small-hydro,Jharkhand,2023-24,2.74
small-hydro,Karnataka,2023-24,1370.76
small-hydro,Kerala,2023-24,716.31
small-hydro,Ladakh,2023-24,
small-hydro,Madhya Pradesh,2023-24,469.60
small-hydro,Maharashtra,2023-24,888.48
small-hydro,Manipur,2023-24,
small-hydro,Meghalaya,2023-24,66.55
small-hydro,Mizoram,2023-24,95.93
small-hydro,Nagaland,2023-24,81.14
small-hydro,Odisha,2023-24,407.97
small-hydro,Punjab,2023-24,636.97
small-hydro,Rajasthan,2023-24,7.45
small-hydro,Sikkim,2023-24,12.35
small-hydro,Tamil Nadu,2023-24,206.00
small-hydro,Telangana,2023-24,58.87
small-hydro,Tripura,2023-24,
small-hydro,Uttar Pradesh,2023-24,175.24
small-hydro,Uttarakhand,2023-24,353.40
small-hydro,West Bengal,2023-24,204.46
small-hydro,Andaman and Nicobar Islands,2022-23,13.94
small-hydro,Andhra Pradesh,2022-23,410.90
small-hydro,Arunachal Pradesh,2022-23,2.53
small-hydro,Assam,2022-23,62.66
small-hydro,Bihar,2022-23,12.62
small-hydro,Chhattisgarh,2022-23,155.93
small-hydro,Goa,2022-23,
small-hydro,Gujarat,2022-23,213.09
small-hydro,Haryana,2022-23,241.90
